( 12 , 961 )
( 18 , 431 )
( 1 , 638 )
( 39 , 909 )
( 23 , 701 )
( 6 , 527 )
( 22 , 752 )
( 24 , 769 )
( 1 , 484 )
( 20 , 731 )
( 17 , 187 )
( 37 , 130 )
( 18 , 564 )
( 3 , 770 )
( 23 , 659 )
( 22 , 295 )
( 31 , 927 )
( 22 , 948 )
( 3 , 466 )
( 0 , 620 )
( 3 , 89 )
( 28 , 481 )
( 7 , 67 )
( 26 , 751 )
( 18 , 825 )
( 20 , 321 )
( 0 , 425 )
( 28 , 594 )
( 22 , 774 )
( 39 , 650 )
( 22 , 236 )
( 34 , 778 )
( 38 , 725 )
( 18 , 782 )
( 5 , 585 )
( 36 , 895 )
( 35 , 618 )
( 36 , 607 )
( 8 , 104 )
( 38 , 367 )
( 23 , 159 )
( 37 , 10 )
( 19 , 583 )
( 28 , 282 )
( 18 , 464 )
( 5 , 538 )
( 31 , 342 )
( 19 , 282 )
( 9 , 526 )
( 3 , 495 )
( 0 , 409 )
( 32 , 707 )
( 17 , 510 )
( 10 , 639 )
( 21 , 213 )
( 30 , 371 )
( 19 , 371 )
( 0 , 253 )
( 0 , 60 )
( 22 , 191 )
( 29 , 695 )
( 4 , 600 )
( 31 , 842 )
( 8 , 617 )
( 13 , 833 )
( 15 , 793 )
( 33 , 60 )
( 1 , 529 )
( 31 , 65 )
( 35 , 821 )
( 10 , 44 )
( 28 , 884 )
( 3 , 851 )
( 39 , 730 )
( 9 , 775 )
( 35 , 654 )
( 31 , 584 )
( 0 , 648 )
( 27 , 401 )
( 14 , 0 )
( 37 , 544 )
( 20 , 642 )
( 27 , 579 )
( 8 , 382 )
( 39 , 90 )
( 22 , 211 )
( 26 , 814 )
( 28 , 545 )
( 26 , 281 )
( 34 , 460 )
( 39 , 468 )
( 16 , 902 )
( 4 , 22 )
( 18 , 192 )
( 13 , 684 )
( 3 , 164 )
( 12 , 53 )
( 32 , 586 )
( 29 , 220 )
( 24 , 967 )
( 34 , 715 )
( 16 , 467 )
( 38 , 950 )
( 22 , 992 )
( 13 , 113 )
( 8 , 168 )
( 1 , 647 )
( 10 , 711 )
( 29 , 298 )
( 0 , 60 )
( 19 , 521 )
( 31 , 326 )
