( 55 , 817 )
( 34 , 885 )
( 44 , 291 )
( 47 , 944 )
( 25 , 562 )
( 24 , 285 )
( 57 , 442 )
( 42 , 689 )
( 31 , 791 )
( 28 , 613 )
( 36 , 3 )
( 21 , 633 )
( 37 , 920 )
( 27 , 182 )
( 52 , 994 )
( 24 , 319 )
( 29 , 909 )
( 20 , 671 )
( 32 , 848 )
( 44 , 620 )
( 20 , 43 )
( 29 , 901 )
( 54 , 777 )
( 29 , 624 )
( 51 , 26 )
( 40 , 879 )
( 24 , 551 )
( 29 , 837 )
( 31 , 518 )
( 35 , 23 )
( 25 , 514 )
( 53 , 930 )
( 40 , 674 )
( 38 , 109 )
( 37 , 161 )
( 26 , 129 )
( 55 , 505 )
( 35 , 15 )
( 47 , 7 )
( 54 , 902 )
( 34 , 691 )
( 55 , 996 )
( 58 , 259 )
( 41 , 471 )
( 20 , 787 )
( 21 , 827 )
( 28 , 693 )
( 28 , 946 )
( 47 , 624 )
( 35 , 171 )
( 42 , 83 )
( 27 , 663 )
( 47 , 331 )
( 26 , 91 )
( 29 , 339 )
( 35 , 122 )
( 48 , 397 )
( 52 , 529 )
( 31 , 801 )
( 50 , 387 )
( 48 , 407 )
( 41 , 742 )
( 49 , 186 )
( 21 , 55 )
( 33 , 773 )
( 49 , 786 )
( 55 , 431 )
( 27 , 607 )
( 26 , 996 )
( 41 , 627 )
( 42 , 939 )
( 30 , 527 )
( 59 , 833 )
( 27 , 244 )
( 24 , 594 )
( 48 , 715 )
( 42 , 235 )
( 42 , 456 )
( 27 , 155 )
( 43 , 559 )
( 28 , 571 )
( 43 , 447 )
( 59 , 502 )
( 42 , 336 )
( 35 , 210 )
( 32 , 921 )
( 57 , 875 )
( 54 , 318 )
( 54 , 152 )
( 20 , 689 )
( 55 , 106 )
( 59 , 16 )
( 57 , 901 )
( 27 , 44 )
( 40 , 746 )
( 33 , 241 )
( 42 , 549 )
( 32 , 23 )
( 32 , 480 )
( 31 , 787 )
( 42 , 683 )
( 30 , 845 )
( 43 , 976 )
( 21 , 170 )
( 52 , 412 )
( 23 , 999 )
( 39 , 420 )
( 47 , 655 )
( 21 , 250 )
( 45 , 176 )
( 30 , 219 )
( 26 , 840 )
( 24 , 394 )
( 53 , 552 )
( 52 , 330 )
( 23 , 880 )
( 43 , 252 )
( 40 , 887 )
( 27 , 263 )
( 37 , 25 )
( 30 , 545 )
( 33 , 205 )
( 42 , 628 )
( 37 , 375 )
( 21 , 33 )
( 22 , 128 )
( 24 , 184 )
( 33 , 739 )
( 57 , 694 )
( 46 , 287 )
( 28 , 23 )
( 47 , 202 )
( 37 , 411 )
( 36 , 92 )
( 20 , 719 )
( 54 , 52 )
( 38 , 287 )
( 25 , 472 )
( 43 , 268 )
( 46 , 551 )
( 53 , 290 )
( 26 , 501 )
( 43 , 525 )
( 53 , 627 )
( 35 , 789 )
( 50 , 288 )
( 25 , 86 )
( 52 , 911 )
( 48 , 478 )
( 29 , 617 )
( 46 , 612 )
( 26 , 526 )
( 55 , 517 )
( 59 , 594 )
( 56 , 670 )
( 45 , 172 )
( 35 , 869 )
( 54 , 607 )
( 20 , 981 )
( 33 , 66 )
( 57 , 34 )
( 50 , 259 )
( 21 , 763 )
( 39 , 121 )
( 24 , 721 )
( 50 , 519 )
( 59 , 394 )
( 38 , 936 )
( 23 , 613 )
( 48 , 80 )
( 55 , 89 )
( 53 , 632 )
( 22 , 141 )
( 35 , 807 )
( 59 , 89 )
( 46 , 516 )
( 35 , 950 )
( 45 , 515 )
( 32 , 355 )
( 43 , 558 )
( 38 , 510 )
( 55 , 311 )
( 49 , 113 )
( 46 , 375 )
( 38 , 374 )
( 55 , 257 )
( 57 , 111 )
( 55 , 903 )
( 50 , 195 )
( 35 , 157 )
( 27 , 824 )
( 47 , 553 )
( 33 , 500 )
( 50 , 560 )
( 50 , 343 )
( 48 , 163 )
( 24 , 891 )
( 27 , 687 )
( 30 , 128 )
( 38 , 887 )
( 37 , 556 )
( 52 , 693 )
( 21 , 788 )
( 25 , 794 )
( 24 , 466 )
( 27 , 80 )
( 55 , 816 )
( 27 , 758 )
( 33 , 298 )
( 35 , 452 )
( 41 , 86 )
( 54 , 115 )
( 52 , 72 )
( 21 , 91 )
( 48 , 42 )
( 57 , 911 )
( 34 , 806 )
( 59 , 426 )
( 50 , 233 )
( 53 , 276 )
( 25 , 312 )
( 29 , 363 )
( 32 , 78 )
( 30 , 455 )
