( 16 , 887 )
( 35 , 957 )
( 9 , 320 )
( 13 , 650 )
( 34 , 653 )
( 29 , 443 )
( 38 , 63 )
( 17 , 898 )
( 8 , 103 )
( 28 , 761 )
( 6 , 183 )
( 34 , 897 )
( 16 , 771 )
( 0 , 106 )
( 5 , 254 )
( 17 , 896 )
( 3 , 359 )
( 24 , 158 )
( 5 , 792 )
( 11 , 421 )
( 18 , 386 )
( 17 , 368 )
( 17 , 581 )
( 5 , 722 )
( 6 , 820 )
( 14 , 88 )
( 5 , 913 )
( 1 , 802 )
( 6 , 371 )
( 20 , 778 )
( 39 , 634 )
( 25 , 162 )
( 32 , 933 )
( 9 , 266 )
( 0 , 538 )
( 11 , 135 )
( 2 , 762 )
( 1 , 101 )
( 4 , 165 )
( 10 , 39 )
( 1 , 46 )
( 4 , 380 )
( 6 , 889 )
( 3 , 963 )
( 15 , 962 )
( 9 , 944 )
( 33 , 98 )
( 30 , 366 )
( 24 , 848 )
( 16 , 845 )
( 6 , 322 )
( 33 , 556 )
( 10 , 8 )
( 34 , 962 )
( 1 , 149 )
( 21 , 555 )
( 10 , 782 )
( 16 , 911 )
( 10 , 820 )
( 13 , 43 )
( 9 , 197 )
( 11 , 687 )
( 16 , 459 )
( 29 , 559 )
( 32 , 1 )
( 3 , 110 )
( 1 , 446 )
( 14 , 878 )
( 8 , 189 )
( 33 , 880 )
( 10 , 625 )
( 5 , 970 )
( 15 , 349 )
( 33 , 4 )
( 37 , 128 )
( 26 , 678 )
( 27 , 714 )
( 35 , 197 )
( 7 , 516 )
( 39 , 989 )
( 17 , 302 )
( 31 , 596 )
( 30 , 578 )
( 8 , 617 )
( 31 , 399 )
( 32 , 534 )
( 7 , 324 )
( 31 , 608 )
( 38 , 382 )
( 4 , 972 )
( 37 , 320 )
( 17 , 293 )
( 25 , 665 )
( 2 , 514 )
( 3 , 535 )
( 29 , 100 )
( 20 , 706 )
( 33 , 104 )
( 24 , 652 )
( 16 , 588 )
( 36 , 648 )
( 31 , 134 )
( 24 , 968 )
( 24 , 113 )
( 0 , 623 )
( 19 , 837 )
( 6 , 37 )
( 19 , 361 )
( 5 , 313 )
( 36 , 606 )
( 14 , 658 )
( 17 , 406 )
