( 47 , 165 )
( 35 , 909 )
( 56 , 319 )
( 39 , 115 )
( 41 , 240 )
( 57 , 865 )
( 39 , 72 )
( 52 , 832 )
( 52 , 650 )
( 23 , 718 )
( 20 , 490 )
( 35 , 732 )
( 22 , 719 )
( 58 , 750 )
( 30 , 262 )
( 20 , 380 )
( 43 , 418 )
( 52 , 556 )
( 46 , 142 )
( 26 , 580 )
( 31 , 19 )
( 29 , 358 )
( 25 , 225 )
( 24 , 440 )
( 33 , 934 )
( 54 , 359 )
( 51 , 764 )
( 31 , 767 )
( 35 , 977 )
( 24 , 443 )
( 50 , 50 )
( 42 , 805 )
( 32 , 299 )
( 43 , 516 )
( 50 , 383 )
( 28 , 641 )
( 23 , 448 )
( 26 , 590 )
( 28 , 269 )
( 37 , 671 )
( 56 , 862 )
( 52 , 444 )
( 51 , 455 )
( 40 , 325 )
( 55 , 367 )
( 47 , 636 )
( 32 , 639 )
( 35 , 694 )
( 40 , 119 )
( 54 , 731 )
( 23 , 771 )
( 43 , 406 )
( 48 , 480 )
( 47 , 540 )
( 28 , 768 )
( 36 , 467 )
( 43 , 296 )
( 28 , 634 )
( 25 , 324 )
( 39 , 239 )
( 56 , 734 )
( 58 , 908 )
( 53 , 501 )
( 34 , 369 )
( 20 , 719 )
( 27 , 537 )
( 50 , 842 )
( 46 , 928 )
( 56 , 651 )
( 41 , 427 )
( 23 , 375 )
( 40 , 168 )
( 44 , 684 )
( 55 , 765 )
( 55 , 79 )
( 23 , 607 )
( 32 , 448 )
( 34 , 650 )
( 30 , 322 )
( 50 , 727 )
( 59 , 683 )
( 40 , 840 )
( 41 , 327 )
( 37 , 564 )
( 34 , 83 )
( 21 , 394 )
( 48 , 470 )
( 54 , 55 )
( 58 , 315 )
( 39 , 683 )
( 48 , 881 )
( 35 , 691 )
( 57 , 899 )
( 20 , 336 )
( 31 , 66 )
( 37 , 321 )
( 23 , 773 )
( 38 , 387 )
( 54 , 916 )
( 35 , 6 )
( 23 , 404 )
( 26 , 210 )
( 23 , 83 )
( 27 , 621 )
( 25 , 604 )
( 41 , 550 )
( 59 , 416 )
( 43 , 670 )
( 54 , 267 )
( 44 , 98 )
( 39 , 98 )
( 36 , 604 )
( 25 , 656 )
( 25 , 296 )
( 26 , 535 )
( 34 , 163 )
( 57 , 827 )
( 25 , 994 )
( 20 , 371 )
( 50 , 586 )
( 46 , 740 )
( 39 , 945 )
( 47 , 706 )
( 27 , 390 )
( 22 , 391 )
( 42 , 190 )
( 54 , 276 )
( 26 , 552 )
( 39 , 899 )
( 40 , 301 )
( 25 , 838 )
( 50 , 923 )
( 48 , 647 )
( 43 , 331 )
( 25 , 9 )
( 37 , 604 )
( 56 , 659 )
( 28 , 833 )
( 35 , 380 )
( 24 , 930 )
( 28 , 640 )
( 52 , 451 )
( 44 , 543 )
( 46 , 293 )
( 27 , 20 )
( 52 , 883 )
( 52 , 726 )
( 51 , 65 )
( 28 , 636 )
( 41 , 781 )
( 42 , 384 )
( 24 , 722 )
( 58 , 326 )
( 23 , 43 )
( 48 , 757 )
( 44 , 434 )
( 46 , 924 )
( 36 , 507 )
( 37 , 590 )
( 45 , 820 )
( 33 , 310 )
( 59 , 994 )
( 30 , 578 )
( 32 , 177 )
( 49 , 210 )
( 44 , 833 )
( 53 , 606 )
( 40 , 730 )
( 28 , 945 )
( 28 , 300 )
( 59 , 295 )
( 46 , 215 )
( 42 , 951 )
( 53 , 327 )
( 51 , 969 )
( 55 , 311 )
( 33 , 447 )
( 20 , 110 )
( 27 , 586 )
( 35 , 944 )
( 45 , 997 )
( 59 , 693 )
( 45 , 318 )
( 36 , 553 )
( 46 , 318 )
( 55 , 15 )
( 35 , 477 )
( 46 , 617 )
( 54 , 62 )
( 50 , 802 )
( 49 , 399 )
( 49 , 968 )
( 22 , 516 )
( 57 , 884 )
( 34 , 622 )
( 51 , 454 )
( 50 , 315 )
( 48 , 789 )
( 59 , 737 )
( 25 , 760 )
( 25 , 874 )
( 49 , 876 )
( 20 , 140 )
( 33 , 580 )
( 32 , 218 )
( 22 , 463 )
( 34 , 423 )
( 51 , 195 )
( 27 , 995 )
( 22 , 163 )
( 52 , 764 )
( 35 , 949 )
( 20 , 114 )
( 41 , 777 )
( 29 , 994 )
( 32 , 405 )
( 32 , 712 )
( 50 , 632 )
( 25 , 325 )
( 35 , 789 )
( 48 , 788 )
( 38 , 965 )
( 28 , 319 )
( 54 , 572 )
